College Name, Twitter Handle
Central Seminary , CBTSKansas
NSCC , northshore_cc
NIACC , myniacc
UTSA , UTSA
GordonStateCollege , GordonState
Ohio Wesleyan Univ. , OhioWesleyan
Briarcliffe College , BriarcliffeEdu
Highline College , highlinenews
UConn , UConn
BismarckStateCollege , Bismarck_State
U of Mary Washington , UMaryWash
Cuyamaca College , cuyamacacollege
IRSC - The River , IRSCTheRiver
New River CC , NRCCedu
Wheelock College , WheelockCollege
Cazenovia College , CazCollege
WSSU , WSSURAMS
Norfolk State , NSU_SA
UTMB Health , utmbhealth
Chamberlain , chamberlainedu
Monroe Comm College , MonroeCC
COTC , COTCedu
Clatsop CC , ClatsopCC
Triton College , tritoncollege
Niagara University , NiagaraUniv
Eastern Michigan , EasternMichU
Highland College , HighlandCollege
St. Lawrence University , StLawrenceU
Phillips Seminary , phillipstheosem
LindenwoodUniversity , LindenwoodU
Lord Fairfax CC , lfccedu
NDSCS , ndscswildcats
Moraine Park Tech , MoraineParkTech
SFBCollege , SFBCollege
ICSW , ICSW_Chicago
McKendree University , McKendreeU
Franklin Pierce , FPUniversity
Scripps College , scrippscollege
OhioValleyUniversity , OVUniversity
Heartland C.C. , Heartland_CC
Sonoma State , SSU_1961
York College CUNY , YorkCollegeCUNY
HCC Florida , HCCFL
MSU Northern , MSUNorthern
NorthCentralState , ncstatecollege
SVCC , saukvalleycc
Vincennes University , VincennesU
William Penn University , WilliamPennU
PasadenaCityCollege , PCCLancer
Richmont Grad U , richmontgradu
Covenant Seminary , CovSeminary
TAMIU , txamiu
NortheasternSeminary , NESeminary
Crossroads College , CrossrdsCollege
San Jacinto College , SanJacCollege
New Mexico Tech , newmexicotech
Siena Heights , sienaheights
AIU Online , AIUniv
University of Guam , UOGTriton
Alaska Pacific Univ. , AlaskaPacificU
SouthSeattleCollege , SouthSeattleCC
Westminster Seminary , wscal
Xavier University , XavierUniv
Ohio State Mansfield , osumansfield
Morgan State University , MorganStateU
OttawaU , OttawaU
Grace Bible College , gbcol
OU-Tulsa , OUTulsa
OSUIT , OSUIT
City Tech-CUNY , CityTechNews
Shawnee State , ShawneeState
SMU News , SMUNews
Raritan Valley CC , raritanvalleycc
Nyack College , NyackCollege
Vermont Tech , vttech
Salem College , SalemCollege
Claremont Theology , CST_News
ASU West campus , asuwestcampus
MSU Denver , msudenver
DePauw University , DePauwU
Alfred State , AlfredState
Essex County College , EssexCountyNwk
NOBTS Enlistment , OSEnews
Edward Waters Coll. , ewctigers
Covenant College , CovenantCollege
IN Wesleyan Univ. , IndWes
SUNY , SUNY
GraduateTheologicalU , tweetGTU
Marion Tech , MarionTech
LSC-Montgomery , LSC_Montgomery
McDaniel College , McDanielCollege
Oak Hills College , OakHillsCollege
ENMU , enmu
Louisiana Delta CC , LADeltaCC
MLC Athletics , mlcknights
Vassar College , Vassar
University of Dallas , UofDallas
LeechLkTribalCollege , LLTribalCollege
Mills College , MillsCollege
Vanguard University , VanguardU
IAIA , IAIASantaFe
National University , NatUniv
USAFA (Official) , AF_Academy
Santa Clara Univ , SantaClaraUniv
Mid-Continent , MCUCOUGARS
Missouri Southern , mosolions
University of Pittsburgh , PittTweet
Catholic University , CatholicUniv
St. Andrews , SA_Knight
Welch College , WelchCollege
TAMU Corps of Cadets , AggieCorps
SFAI , SFAIofficial
Gallaudet University , GallaudetU
